conid,ticker,candidate_date,close_asof,sharesbas,sharefactor,sf1_datekey,staleness_days,computed_market_cap,vendor_marketcap_anchor,relative_diff_pct,boundary_distance_pct,market_cap_bucket,market_cap_reason_code
32106121,MPWR,2026-04-21,1527.95,49118000.0,1.0,2026-02-27,53.0,75049848100.0,56129103320.0,33.71,50.1,UNBUCKETED,MARKET_CAP_SUSPECT
584127832,COHR,2026-04-21,343.79,187481852.0,1.0,2026-02-04,76.0,64454385899.08,39558670772.0,62.93,28.91,UNBUCKETED,MARKET_CAP_SUSPECT
740948854,ANET,2026-04-21,172.86,1256537906.0,1.0,2026-02-17,63.0,217205142431.16,179157174637.0,21.24,8.6,Mega,MARKET_CAP_OK
4391,AMD,2026-04-22,303.46,1630410843.0,1.0,2026-02-04,77.0,494764474416.77997,326391946660.0,51.59,147.38,UNBUCKETED,MARKET_CAP_SUSPECT
8677881,ON,2026-04-22,88.99,394020530.0,1.0,2026-02-09,72.0,35063886964.7,25650736503.0,36.7,29.87,UNBUCKETED,MARKET_CAP_SUSPECT
481863646,APP,2026-04-22,483.71,307100208.0,1.0,2026-02-19,62.0,148547441611.68,126525285696.0,17.41,25.73,Large-high,MARKET_CAP_OK
504546674,HOOD,2026-04-22,88.43,900308390.0,1.0,2026-02-20,61.0,79614270927.70001,68522471563.0,16.19,59.23,Large-high,MARKET_CAP_OK
584127832,COHR,2026-04-22,350.47,187481852.0,1.0,2026-02-04,77.0,65706764670.44,39558670772.0,66.1,31.41,UNBUCKETED,MARKET_CAP_SUSPECT
731466419,SMCI,2026-04-22,29.18,598989428.0,1.0,2026-02-06,75.0,17478511509.04,20593256535.0,15.13,65.04,Large-low,MARKET_CAP_OK
740948854,ANET,2026-04-22,177.73,1256537906.0,1.0,2026-02-17,64.0,223324482033.37997,179157174637.0,24.65,11.66,Mega,MARKET_CAP_OK
4391,AMD,2026-04-23,305.33,1630410843.0,1.0,2026-02-04,78.0,497813342693.19,326391946660.0,52.52,148.91,UNBUCKETED,MARKET_CAP_SUSPECT
13096,TXN,2026-04-23,282.23,907550774.0,1.0,2026-02-06,76.0,256138054946.02002,200968043395.0,27.45,28.07,UNBUCKETED,MARKET_CAP_SUSPECT
271568,MCHP,2026-04-23,90.64,541135458.0,1.0,2026-02-05,77.0,49048517913.12,42230211142.0,16.15,1.9,Large-low,MARKET_CAP_OK
