conid,ticker,candidate_date,close_candidate,close_datekey,sharesbas,sharefactor,sf1_datekey,staleness_days,computed_market_cap,vendor_marketcap,relative_diff_pct,ratio_candidate,ratio_sharefactor_mult,ratio_sharefactor_div,price_ratio,anchor_adjusted_ratio,cap01_reason
4391,AMD,2026-05-11,458.79,421.39,1630600639.0,1.0,2026-05-06,5,748103267166.81,687118803268.0,8.88,1.0887538859492163,1.0887538859492163,1.0887538859492163,1.0887538859488834,1.0000000000003058,OK
9939,MU,2026-05-11,795.33,444.27,1127734051.0,1.0,2026-03-19,53,896920722781.8301,501018406838.0,79.02,1.7901951515961803,1.7901951515961803,1.7901951515961803,1.790195151597002,0.9999999999995409,SUSPECT
270639,INTC,2026-05-11,129.44,82.54,5026000000.0,1.0,2026-04-24,17,650565440000.0,414846040000.0,56.82,1.5682093530409498,1.5682093530409498,1.5682093530409498,1.5682093530409498,1.0,SUSPECT
273544,QCOM,2026-05-11,237.53,156.0,1054000000.0,1.0,2026-04-29,12,250356620000.0,164424000000.0,52.26,1.5226282051282052,1.5226282051282052,1.5226282051282052,1.5226282051282052,1.0,SUSPECT
70236214,FTNT,2026-05-11,115.44,114.07,732648391.0,1.0,2026-05-08,3,84576930257.04,83573201961.0,1.2,1.0120101691988348,1.0120101691988348,1.0120101691988348,1.0120101691943544,1.0000000000044273,OK
491932113,STX,2026-05-11,834.01,643.3,224228992.0,1.0,2026-04-29,12,187009221617.91998,144246510554.0,29.65,1.2964557749070218,1.2964557749070218,1.2964557749070218,1.2964557749106171,0.9999999999972268,SUSPECT
4391,AMD,2026-05-12,448.29,421.39,1630600639.0,1.0,2026-05-06,6,730981960457.31,687118803268.0,6.38,1.0638363511239874,1.0638363511239874,1.0638363511239874,1.0638363511236621,1.0000000000003058,OK
9939,MU,2026-05-12,766.58,444.27,1127734051.0,1.0,2026-03-19,54,864498368815.5801,501018406838.0,72.55,1.7254822517830333,1.7254822517830333,1.7254822517830333,1.7254822517838253,0.999999999999541,SUSPECT
270639,INTC,2026-05-12,120.61,82.54,5026000000.0,1.0,2026-04-24,18,606185860000.0,414846040000.0,46.12,1.4612309183426218,1.4612309183426218,1.4612309183426218,1.4612309183426215,1.0000000000000002,SUSPECT
273544,QCOM,2026-05-12,210.31,156.0,1054000000.0,1.0,2026-04-29,13,221666740000.0,164424000000.0,34.81,1.3481410256410256,1.3481410256410256,1.3481410256410256,1.3481410256410256,1.0,SUSPECT
1035459,DVA,2026-05-12,200.54,157.04,64200000.0,1.0,2026-05-05,7,12874668000.0,10081968000.0,27.7,1.2769994905756494,1.2769994905756494,1.2769994905756494,1.2769994905756494,1.0,SUSPECT
