conid,candidate_date,sf1_datekey,staleness_days,staleness_flag,identity_tier,is_alias,coverage_status,reason_code,revenue,netinc,eps,fcf,roe,grossmargin,netmargin,debt,de,assets,equity,ticker,mle_rank,irc_rank,source_signal_label
292491487,2026-02-18,2026-02-05,13,,MATCHED_STRONG,False,OK,,7514800000.0,522300000.0,2.7,1642600000.0,0.633,0.76,0.07,3943700000.0,10.849,6531000000.0,551200000.0,TPR,6,10,MLE_TOP10xIRC_TOP10_20d
402783527,2026-02-18,2026-02-13,5,,MATCHED_STRONG,False,OK,,10229900000.0,1332800000.0,3.49,1887400000.0,0.403,0.363,0.13,3158200000.0,2.099,12212400000.0,3941300000.0,VRT,4,2,MLE_TOP10xIRC_TOP10_20d
463654490,2026-02-18,2026-02-18,0,,MATCHED_STRONG,False,OK,,798190000.0,481376000.0,6.98,-3816000.0,0.362,0.85,0.603,16175000.0,0.113,1623278000.0,1458907000.0,TPL,3,6,MLE_TOP10xIRC_TOP10_20d
713434903,2026-02-18,2025-11-07,103,,MATCHED_NAME_VERIFIED,False,OK,,31138000000.0,748000000.0,1.48,861000000.0,0.042,0.196,0.024,14111000000.0,1.471,45569000000.0,18433000000.0,SW,5,1,MLE_TOP10xIRC_TOP10_20d
6607708,2026-02-19,2026-02-19,0,,MATCHED_STRONG,False,OK,,9101641000.0,1022558000.0,28.93,1035148000.0,0.485,0.241,0.112,447816000.0,1.63,6441169000.0,2448774000.0,FIX,7,5,MLE_TOP10xIRC_TOP10_20d
41045553,2026-02-19,2025-12-12,69,,MATCHED_STRONG,False,OK,,4769507000.0,123338000.0,0.87,665292000.0,0.045,0.42,0.026,1582210000.0,1.149,5864667000.0,2729323000.0,CIEN,5,3,MLE_TOP10xIRC_TOP10_20d
72529783,2026-02-19,2026-02-18,1,,MATCHED_STRONG,False,OK,,4209147000.0,159554000.0,2.73,271206000.0,0.062,0.383,0.038,1498263000.0,1.115,5573679000.0,2632422000.0,GNRC,4,8,MLE_TOP10xIRC_TOP10_20d
402783527,2026-02-19,2026-02-13,6,,MATCHED_STRONG,False,OK,,10229900000.0,1332800000.0,3.49,1887400000.0,0.403,0.363,0.13,3158200000.0,2.099,12212400000.0,3941300000.0,VRT,3,1,MLE_TOP10xIRC_TOP10_20d
463654490,2026-02-19,2026-02-18,1,,MATCHED_STRONG,False,OK,,798190000.0,481376000.0,6.98,-3816000.0,0.362,0.85,0.603,16175000.0,0.113,1623278000.0,1458907000.0,TPL,1,6,MLE_TOP10xIRC_TOP10_20d
7655,2026-02-20,2026-02-12,8,,MATCHED_STRONG,False,OK,,15629000000.0,1596000000.0,1.87,1424000000.0,0.141,0.36,0.102,8434000000.0,1.581,30976000000.0,11807000000.0,GLW,10,3,MLE_TOP10xIRC_TOP10_20d
6607708,2026-02-20,2026-02-19,1,,MATCHED_STRONG,False,OK,,9101641000.0,1022558000.0,28.93,1035148000.0,0.485,0.241,0.112,447816000.0,1.63,6441169000.0,2448774000.0,FIX,6,4,MLE_TOP10xIRC_TOP10_20d
41045553,2026-02-20,2025-12-12,70,,MATCHED_STRONG,False,OK,,4769507000.0,123338000.0,0.87,665292000.0,0.045,0.42,0.026,1582210000.0,1.149,5864667000.0,2729323000.0,CIEN,4,3,MLE_TOP10xIRC_TOP10_20d
72529783,2026-02-20,2026-02-18,2,,MATCHED_STRONG,False,OK,,4209147000.0,159554000.0,2.73,271206000.0,0.062,0.383,0.038,1498263000.0,1.115,5573679000.0,2632422000.0,GNRC,3,8,MLE_TOP10xIRC_TOP10_20d
402783527,2026-02-20,2026-02-13,7,,MATCHED_STRONG,False,OK,,10229900000.0,1332800000.0,3.49,1887400000.0,0.403,0.363,0.13,3158200000.0,2.099,12212400000.0,3941300000.0,VRT,2,1,MLE_TOP10xIRC_TOP10_20d
463654490,2026-02-20,2026-02-18,2,,MATCHED_STRONG,False,OK,,798190000.0,481376000.0,6.98,-3816000.0,0.362,0.85,0.603,16175000.0,0.113,1623278000.0,1458907000.0,TPL,1,5,MLE_TOP10xIRC_TOP10_20d
7655,2026-02-23,2026-02-12,11,,MATCHED_STRONG,False,OK,,15629000000.0,1596000000.0,1.87,1424000000.0,0.141,0.36,0.102,8434000000.0,1.581,30976000000.0,11807000000.0,GLW,8,2,MLE_TOP10xIRC_TOP10_20d
11899,2026-02-23,2026-02-18,5,,MATCHED_STRONG,False,OK,,19317000000.0,4701000000.0,11.58,-715000000.0,0.262,0.481,0.231,41549000000.0,4.253,94026000000.0,17579000000.0,EIX,9,10,MLE_TOP10xIRC_TOP10_20d
41045553,2026-02-23,2025-12-12,73,,MATCHED_STRONG,False,OK,,4769507000.0,123338000.0,0.87,665292000.0,0.045,0.42,0.026,1582210000.0,1.149,5864667000.0,2729323000.0,CIEN,2,2,MLE_TOP10xIRC_TOP10_20d
72529783,2026-02-23,2026-02-18,5,,MATCHED_STRONG,False,OK,,4209147000.0,159554000.0,2.73,271206000.0,0.062,0.383,0.038,1498263000.0,1.115,5573679000.0,2632422000.0,GNRC,4,9,MLE_TOP10xIRC_TOP10_20d
402783527,2026-02-23,2026-02-13,10,,MATCHED_STRONG,False,OK,,10229900000.0,1332800000.0,3.49,1887400000.0,0.403,0.363,0.13,3158200000.0,2.099,12212400000.0,3941300000.0,VRT,3,1,MLE_TOP10xIRC_TOP10_20d
463654490,2026-02-23,2026-02-18,5,,MATCHED_STRONG,False,OK,,798190000.0,481376000.0,6.98,-3816000.0,0.362,0.85,0.603,16175000.0,0.113,1623278000.0,1458907000.0,TPL,1,5,MLE_TOP10xIRC_TOP10_20d
41045553,2026-02-24,2025-12-12,74,,MATCHED_STRONG,False,OK,,4769507000.0,123338000.0,0.87,665292000.0,0.045,0.42,0.026,1582210000.0,1.149,5864667000.0,2729323000.0,CIEN,8,2,MLE_TOP10xIRC_TOP10_20d
72529783,2026-02-24,2026-02-18,6,,MATCHED_STRONG,False,OK,,4209147000.0,159554000.0,2.73,271206000.0,0.062,0.383,0.038,1498263000.0,1.115,5573679000.0,2632422000.0,GNRC,3,5,MLE_TOP10xIRC_TOP10_20d
402783527,2026-02-24,2026-02-13,11,,MATCHED_STRONG,False,OK,,10229900000.0,1332800000.0,3.49,1887400000.0,0.403,0.363,0.13,3158200000.0,2.099,12212400000.0,3941300000.0,VRT,4,1,MLE_TOP10xIRC_TOP10_20d
