date,ticker,industry,breach_day,irc_rank_at_breach,irc_delta_5d,irc_state,reentry_50,post_breach_ret
2025-10-14,VRT,Machinery-Constr&Mining,6,1,0.0,STRONG,True,0.04347572702371938
2025-10-15,AMD,Semiconductors,5,12,8.0,WEAKENING,True,0.12448421144073318
2025-10-15,CAT,Machinery-Constr&Mining,5,1,0.0,STRONG,True,0.11502013971317937
2025-10-15,CEG,Electric,3,4,1.0,STRONG,False,-0.04318918918918924
2025-10-15,GNRC,Electrical Compo&Equip,9,17,-1.0,WEAKENING,False,-0.14583223770707343
2025-10-15,UAL,Airlines,1,11,-12.0,WEAKENING,True,0.01812811895305022
2025-10-15,VRT,Machinery-Constr&Mining,5,1,0.0,STRONG,True,0.010373564893058962
2025-10-16,AMD,Semiconductors,4,12,8.0,WEAKENING,True,0.07700994657516413
2025-10-16,BG,Agriculture,9,22,0.0,COLLAPSED,False,0.008324661810614087
2025-10-16,CAT,Machinery-Constr&Mining,4,1,0.0,STRONG,True,0.07713412854390844
2025-10-16,CEG,Electric,2,4,1.0,STRONG,False,-0.09259459459459451
