date,ticker,breach_day,worst_rank_after,post_missing_rank,bucket,reentry_50,days_to_reentry_50,reentry_25,days_to_reentry_25,reentry_10,days_to_reentry_10,post_breach_ret,post_reentry50_ret
2025-09-18,INTC,16,207.0,False,C_151-250,True,1.0,False,,False,,0.012922738520759092,-0.010209564750134237
2025-09-18,LITE,4,483.0,False,D_gt250,False,,False,,False,,0.06860883797054007,
2025-09-18,LRCX,13,287.0,False,D_gt250,True,1.0,False,,False,,0.014392589953687196,-0.0011926476778447714
2025-09-18,MU,6,254.0,False,D_gt250,True,3.0,True,3.0,True,5.0,0.28778533731798817,0.11188580839967055
2025-09-18,TSLA,8,438.0,False,D_gt250,False,,False,,False,,-0.03591023565389462,
2025-09-19,APP,10,497.0,False,D_gt250,False,,False,,False,,-0.12222450055656464,
2025-09-19,CRWD,9,385.0,False,D_gt250,False,,False,,False,,-0.024456521739130488,
2025-09-19,HOOD,1,494.0,False,D_gt250,True,2.0,True,2.0,True,5.0,0.04019537192729605,0.02452681388012623
2025-09-19,INTC,15,207.0,False,C_151-250,True,1.0,False,,False,,0.017596920538905714,-0.005642127888232151
2025-09-19,LRCX,12,299.0,False,D_gt250,True,1.0,False,,False,,0.008265051656572764,-0.007226041812824491
2025-09-19,MU,5,254.0,False,D_gt250,True,3.0,True,3.0,True,5.0,0.2868315635531251,0.11106231128191046
2025-09-19,TSLA,7,438.0,False,D_gt250,False,,False,,False,,-0.012164957726209846,
2025-09-22,AMAT,11,117.0,False,B_101-150,True,2.0,False,,False,,0.07832293439213456,0.03554244212437574
2025-09-22,KLAC,9,431.0,False,D_gt250,False,,False,,False,,0.04659797557986489,
2025-09-22,LRCX,11,367.0,False,D_gt250,True,1.0,False,,False,,0.02636266476665483,0.010593517609092329
2025-09-22,MU,4,254.0,False,D_gt250,True,3.0,True,3.0,True,5.0,0.31474534240478147,0.13516332692835586
2025-09-22,STX,10,497.0,False,D_gt250,False,,False,,False,,-0.1170777910472347,
2025-09-22,VRT,2,122.0,False,B_101-150,True,4.0,True,4.0,True,5.0,0.2408558113260837,0.16485483229484266
2025-09-22,WDC,15,467.0,False,D_gt250,False,,False,,False,,0.022463402322059567,
2025-09-23,AMAT,10,117.0,False,B_101-150,True,2.0,False,,False,,0.06825486859519758,0.02587380844303211
2025-09-23,INTC,13,207.0,False,C_151-250,True,1.0,False,,False,,0.0481165795985703,0.024180548092423315
2025-09-23,KLAC,8,431.0,False,D_gt250,True,12.0,False,,False,,0.0416504017066861,0.0
2025-09-23,LRCX,10,367.0,False,D_gt250,True,1.0,False,,False,,0.033416458852867814,0.01753893643889426
2025-09-23,MU,3,254.0,False,D_gt250,True,3.0,True,3.0,True,5.0,0.28625929929420724,0.11056821301125441
2025-09-23,STX,9,497.0,False,D_gt250,False,,False,,False,,-0.11637771280319575,
2025-09-23,TER,10,450.0,False,D_gt250,True,1.0,False,,False,,0.02276295133438011,-0.008782849239280632
2025-09-24,AMAT,9,142.0,False,B_101-150,True,2.0,False,,False,,0.04254112308564939,0.0011802088061734217
2025-09-24,INTC,12,287.0,False,D_gt250,True,1.0,False,,False,,0.015122353588122195,-0.008060182697474438
2025-09-24,KLAC,7,431.0,False,D_gt250,True,12.0,False,,False,,0.011592755662475529,-0.028855790767192913
2025-09-24,LRCX,9,367.0,False,D_gt250,True,1.0,False,,False,,0.006412540078375439,-0.009050091202469468
2025-09-24,MU,2,254.0,False,D_gt250,True,3.0,True,3.0,True,5.0,0.26196986074903017,0.08959648641229756
2025-09-24,STX,8,497.0,False,D_gt250,False,,False,,False,,-0.1144010212906148,
2025-09-24,TSLA,4,438.0,False,D_gt250,False,,False,,False,,-0.012929483720093504,
2025-09-24,WDC,13,467.0,False,D_gt250,False,,False,,False,,0.013545347467609048,
